found_in_function,team,defect_category,ticket_count
26-03,DTSV_China,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,3
26-03,DTSV_China,No_Showstopper_Confirmed,3
26-03,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled,3
26-03,DTSV_China,Showstopper_Confirmed | Homologation relevant,3
26-03,IUK,Homologation L-labelled | Not Homologation relevant,3
26-07,,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,3
26-07,DIPS,Not Homologation relevant,3
26-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,3
26-07,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,3
26-07,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate,3
26-07,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,3
26-07,DIPS_TSP_CD_Updates,Showstopper_Candidate,3
26-07,DTSV_China,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,3
26-07,IUK,Homologation L-labelled | Not Homologation relevant,3
26-11,,Showstopper_Candidate,3
26-11,IuK_TSP_HMI,Showstopper_Candidate,3
27-07,,Showstopper_Candidate,3
27-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled,3
27-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,3
27-07,IuK_TSP_Entertainment,Showstopper_Candidate,3
27-07,IuK_TSP_HMI,Showstopper_Candidate,3
No I-Step Relevance,DIPS,Homologation L-labelled | Showstopper_Candidate,3
No I-Step Relevance,IUK,Showstopper_Candidate,3
,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,2
,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Candidate | Buildability affected,2
,DIPS_TSP_Remote_Services,Homologation L-labelled,2
,DTSV_China,Not Homologation relevant,2
,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled,2
,DTSV_China,Showstopper_Candidate | Buildability affected,2
,DTSV_China,Showstopper_Candidate | Not Homologation relevant,2
,DTSV_China,Showstopper_Confirmed,2
,IUK,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,2
,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Candidate,2
,IuK_TSP_Audio,Showstopper_Candidate,2
,IuK_TSP_Navi,,2
22-07,DIPS,,2
23-07,DIPS,Showstopper_Candidate | No_Showstopper_Confirmed,2
23-11,DIPS,,2
23-11,DIPS,Homologation L-labelled | Showstopper_Candidate,2
23-11,DIPS,Showstopper_Confirmed,2
24-03,,No_Showstopper_Confirmed,2
24-03,DIPS,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,2
24-03,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,2
24-03,DIPS,Not Homologation relevant,2
24-03,DTSV_China,Showstopper_Confirmed,2
24-03,[AT]W72-FIT,Showstopper_Candidate,2
24-07,,,2
24-07,DIPS,Homologation L-labelled | No_Showstopper_Confirmed | Not Homologation relevant,2
24-07,DIPS,Homologation L-labelled | Preventing Maturity Grade Energy Management | Showstopper_Candidate,2
24-07,DIPS,Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,2
